Cooking Minutes, Dairy Free, Gluten Free, Instructions, Preparation Minutes, Price Per Serving, Ready In Minutes, Servings, Spoonacular Score, Title, Vegan, Vegetarian
10, true, true, "Preheat oven to 450 degrees. Arrange salmon in a shallow baking pan. Season with salt and pepper. Roast until no longer pink in the middle and flaky, 10 to 13 minutes. Using a flat spatula, remove fillets, leaving skin on the baking sheet.", 5.0, 427.92, 15, 4, 99.0, "Roasted Salmon With Lime And Cilantro", false, false
10, false, true, "Cut room temperature curd into 1 inch cubes; set aside in a large pot.In a separate large pot, bring heavily salted water to boil (taste it, make sure you taste the salt!).Pour the boiling salted water over the curd and let it steep for 10 minutes. While the curd is steeping, prepare 4 8-oz ramekins by coating the inside with the olive oil. After the curd has steeped for 10 minutes, use a wooden to knead it, gently pressing it into itself and tossing it over. As it starts to come together, abandon the spoon and use your hands to knead it into 4 3-oz balls.Using your fingers, gently spread and flatten the balls to about 1/8 inch thick and 6 inches in diameter; gently center each disk of flattened cheese over the rim of a ramekin.Scoop two large tablespoons of ricotta into the middle of of each piece of mozzarella; using a spoon as you do to gently press the ricotta down and into the mozzarella lined ramekin.Fold the mozzarella over the ricotta, trimming any excess with a scissors.You can use the salted water the curds were steeped in to form a seal; just wet your fingers with the water and smear the top of each filled ramekin.To serve, flip the ramekin onto a serving dish and garnish the burrata with olive oil, sea salt and black pepper.Combine all ingredients in a small sauce pan, whisk slowly over low heat, just below a simmer for 8-10 minutes, should be aromatic at this point.Strain thru fine mesh cheese cloth, discarding spices.Cool oil in an ice bath before transferring to a bottle for use.", 15.0, 128.28, 25, 8, 34.0, "Burrata, Chili Oil and More…from Frank Bonanno", false, true
0, false, false, "Procedures 1 Make the crust: Preheat oven to 325°F. Combine ginger snap crumbs, melted butter, and maple syrup and stir until well mixed. Press into the bottom of a greased 9-inch springform pan and bake for 10 minutes. Set aside to cool. Leave oven on. 2 Make the mascarpone filling: Add the cream cheese to the bowl of an electric mixer and beat until creamy, about two minutes. Add mascarpone, sugar and lemon zest, beating on low speed for 1 minute, until the texture is smooth. Do not over-beat, as mascarpone will occasionally go to pieces if abused. Turn the mixer to medium and add eggs a little a time, and then the vanilla, again beating until smooth - about 30 seconds. Add flour, salt, and cayenne, beating for another 30 seconds. 3 Pour mascarpone filling into the cooled springform pan and wrap the bottom and sides tightly with heavy duty tin foil to keep butter from leaking out into your oven (see headnote--springform pans are notoriously leaky). Bake for 45 to 50 minutes. The top should be slightly browned and a little jiggly in the middle. Cool for 15 minutes, then run a knife around the edges of the cake to loosen it from the pan. Allow to cool completely before adding lemon filling. 4 Make the Meyer lemon filling: In a cup, stir together cornstarch and water until you have a well-mixed slurry. Set aside. 5 In a small bowl combine sugar, salt, lemon zest, and egg yolks, beating well with a whisk. Add in lemon juice, stir well, then add butter and cornstarch slurry, whisking again. 6 Pour the lemon filling into a saucepan and cook over medium heat, whisking constantly until the mixture thickens, about 5 to 7 minutes. It should be thick enough to heavily coat the back of a spoon. If the mixture begins to boil, lower the heat to medium-low. 7 Remove pan from heat and continue to whisk for 1 minute. Push the filling through a sieve to remove any lumps, then pour the filling into the springform pan on top of the baked cheesecake. Chill for at least six hours to set the cake completely before removing the sides of the springform pan. Serve with a dollop of whipped cream and a slice of lemon jelly candy, if you like.", 0, 131.78, 75, 8, 34.0, "Meyer Lemon Mascarpone Cake", false, false
25, false, true, "Directions In a large saucepan, saute onion, celery, garlic and green pepper in oil until tender. Add zucchini, tomatoes, broth, basil and thyme; bring to a boil. Reduce heat; simmer, uncovered, for 20-30 minutes or until the vegetables are tender. Stir in cream; heat through. Serve hot or cold. Yield: 8 servings (2 quarts). Originally published as Zucchini Soup in Quick CookingJuly/August 1998, p46 Nutritional Facts 1 cup equals 98 calories, 5 g fat (2 g saturated fat), 17 mg cholesterol, 409 mg sodium, 9 g carbohydrate, 2 g fiber, 3 g protein.. Diabetic Exchanges: 2 vegetable, 1 fat. Print Add to Recipe Box Email a Friend", 10.0, 90.96, 35, 8, 50.0, "Zucchini Soup", false, true
0, false, false, "Preheat oven to 350 degrees F.In a large mixing bowl, combine the 1/2 cup butter, 1 cup brown sugar, 1 egg and 1 tsp vanilla. Add in 1 cup of gluten-free flour, xanthan gum, baking powder, baking soda and 1 cup of oats. Stir until well combined.By placing a sheet of plastic wrap over the mixture, press cookie dough into the bottom of a lightly greased pizza pan. Set aside.In a large mixing bowl, beat together the cream cheese, 1/4 cup brown sugar, 1/4 cup granulated sugar, 1 tsp vanilla, 1 tsp cinnamon and egg yolk. In a separate bowl, toss the chopped apples with the 3 Tbsp of gluten-free flour, to coat. Stir the apples into the cream cheese mixture. Pour apple/cream cheese mixture on top of the oatmeal cookie dough, leaving about 1-inch uncovered around the edge of the cookie. Set aside.For the crisp topping, mix 1/3 cup gluten-free flour, 1/2 cup oats, 1/2 tsp cinnamon, pinch of nutmeg and 1/3 cup brown sugar in a medium size mixing bowl. Using a pastry blender, or two knives, cut the cold butter into the mixture, until the butter pieces are about the size of a pea. Sprinkle the crisp topping on top of the apple/cream cheese layer.Sprinkle the top of the Apple Crisp Pizza with the chopped pecans.Bake in preheated oven for 40 minutes.Remove from oven and allow to cool on a wire rack for 10 minutes.Use a pizza cutter to cut Apple Crisp Pizza into 12 pieces. Top each slice with caramel sauce, and serve warm with a scoop of vanilla ice cream.", 0, 99.06, 45, 8, 25.0, "Gluten-Free Apple Crisp Pizza", false, true
6, false, false, "<ol><li>Measure out the cereal. Pour in a large bowl, set aside.</li><li>Melt butter in a heavy saucepan over medium heat. Add sugar.</li><li>Stir constantly for 6-8 minutes until the color is light brown (like a paper bag). If using a candy thermometer the temperature should reach about 298°F. The mixture may look curdled or separated- that's okay. You are looking for a light brown caramel color.</li><li>Immediately remove from heat and slowly add vanilla- being careful to avoid any splatters to your skin. Stir for a few more seconds, and pour over the cereal.</li><li>Stir the toffee to coat the cereal as best you can then spread the mixture onto your prepared baking sheet to cool. Add M&amp;Ms if desired. Store in airtight container for up to 1 week.</li></ol>", 10.0, 50.07, 16, 8, 51.0, "Cinnamon Cereal Toffee Crunch Snack Mix", false, true
10, true, true, "Preheat your waffle iron.Mix all the dry ingredients in a large bowl (everything through the nutmeg).Whisk together all the other (wet) ingredients in a medium bowl.Add the wet ingredients to the dry and mix until combined.Pour the batter (it will be thick and you'll need to spread it out with a spatula) onto the waffle iron and cook according to the directions on your waffle.", 5.0, 270.95, 15, 2, 69.0, "Sweet potato waffles", false, true
45, true, true, "Preheat oven to 400. Take the squash and slice in half (1). Cut into quarters, scoop out the seeds (2) and place in a roasting pan. Drizzle with olive oil (3) and roast until squash is tender, 35 to 45 minutes. Remove from oven and let cool enough to handle.While squash is roasting, make granola. Combine the quinoa flakes with the sesame seeds and salt in a bowl (4). Add in the olive oil and honey, stirring until everything is combined and the quinoa flakes are well coated (5). If the honey is thick, heat slightly before using. Pour the granola onto a baking tray covered with parchment paper and pat down into a thin layer (6). Bake for 10 minutes; the granola should be lightly browning around the edges. Stir slightly and return to the oven for another 5 to 10 minutes or until the granola is golden. Remove from oven and let cool.While the squash and granola is baking, heat a pot over medium heat. Add olive oil followed by onion. Cook until the onion is translucent, 6 to 8 minutes (7). Add in garlic and ginger, cooking for another minute. Add in 2 cups vegetable broth (8), bring to a boil, and turn off heat.Once squash is done roasting and cool enough to handle, scoop out the insides into a blender (9). Add in the vegetable broth (10) and puree until the soup is smooth (11). If the soup looks too thick, add splash more vegetable broth.Return the soup back to the pot (12) and heat over low until warm. Serve with a sprinkle of granola and a very light drizzle of sesame oil.See corresponding step by step photos below.", 20.0, 299.27, 65, 2, 94.0, "Sesame Kabocha Squash Soup", false, true
30, false, false, "Preheat the oven to 325F. Line 12 muffin tins with paper liners.Mix the vegetable oil, eggs, sour cream and sugar in a bowl. In another bowl, combine the flour, graham cracker crumbs, cocoa, salt and baking soda. Combine both mixtures and stir, just until moistened. Fold in the marshmallows and chocolate chips. Divide the mixture evenly between the muffin tins.Bake until a tester inserted in the center comes out clean, about 30 minutes. Do not over bake. Allow to cool.Garnish the muffins with a dollop of marshmallow creme, graham cracker crumbs and chocolate chips.", 15.0, 31.65, 60, 12, 16.0, "S’mores Muffins", false, false
0, true, true, "Season the liver lightly with the salt and pepper; dredge in the tapioca and shake to remove the excess.Heat the tallow in a large heavy skillet over high heat and fry the liver, working in batches if necessary, until browned, 2 to 3 minutes; remove to a plate and set aside.Reduce the heat to medium low and sauté the onion and celery until the onion is soft but not brown, about 5 minutes. Add the sliced peppers and garlic and cook for another minute. Stir in the beef stock, scraping all the brown bits off the bottom, then stir in the tomato sauce, oregano and thyme. Add the beef liver back to the pan, with the accumulated pan juices.Simmer the simmer the liver, covered, for 20 to 30 minutes, stirring occasionally, until the meat is tender and the sauce has thickened. Taste and add salt and pepper if necessary before serving.Nutrition (per serving): 367 calories, 14.4g total fat, 425.1mg cholesterol, 704.7mg sodium, 1002.9mg potassium, 24.6g carbohydrates, 2.7g fiber, 5.7g sugar, 34.1g protein", 0, 143.07, 45, 6, 98.0, "Italian-Style Beef Liver", false, false
